0       FS_Init
1       FS_DeInit
77      FS_IsVolumeMounted                  pVolumeName=%s
78      FS_Lock
79      FS_LockVolume                       pVolumeName=%s
80      FS_SetBusyLEDCallback               pVolumeName=%s pfCallback=%p
81      FS_SetMemAccessCallback             pVolumeName=%s pfCallback=%p
82      FS_SetVolumeLabel                   pVolumeName=%s pVolumeLabel=%s
83      FS_TimeStampToFileTime              TimeStamp=%u pFileTime=%p
84      FS_Unlock
85      FS_UnlockVolume                     pVolumeName=%s
86      FS_ClearErr                         pFile=%p
87      FS_ErrorNo2Text                     ErrCode=%u
88      FS_FEof                             pFile=%p
89      FS_FError                           pFile=%p
90      FS_FAT_GrowRootDir                  pVolumeName=%s NumAddEntries=%u
91      FS_FormatSD                         pVolumeName=%s
92      FS_FAT_SupportLFN
93      FS_FAT_DisableLFN
94      FS_FAT_ConfigFATCopyMaintenance     OnOff=%u
95      FS_FAT_ConfigFSInfoSectorUse        OnOff=%u
96      FS_FAT_ConfigROFileMovePermission   OnOff=%u
97      FS_STORAGE_Clean                    pVolumeName=%s
98      FS_STORAGE_CleanOne                 pVolumeName=%s pMore=%p
99      FS_STORAGE_FreeSectors              pVolumeName=%s FirstSector=%u NumSectors=%u
100     FS_STORAGE_GetCleanCnt              pVolumeName=%s pCnt=%p
101     FS_STORAGE_GetCounters              pStat=%p
102     FS_STORAGE_GetDeviceInfo            pVolumeName=%s pDevInfo=%p
103     FS_STORAGE_GetSectorUsage           pVolumeName=%s SectorIndex=%u
104     FS_STORAGE_Init
105     FS_STORAGE_ReadSector               pVolumeName=%s pData=%p SectorIndex=%u
106     FS_STORAGE_ReadSectors              pVolumeName=%s pData=%p FirstSector=%u NumSectors=%u
107     FS_STORAGE_RefreshSectors           pVolumeName=%s FirstSector=%u NumSectors=%u pBuffer=%p NumBytes=%u
108     FS_STORAGE_ResetCounters
109     FS_STORAGE_Sync                     pVolumeName=%s
110     FS_STORAGE_SyncSectors              pVolumeName=%s FirstSector=%u NumSectors=%u
111     FS_STORAGE_Unmount                  pVolumeName=%s
112     FS_STORAGE_WriteSector              pVolumeName=%s pData=%p SectorIndex=%u
113     FS_STORAGE_WriteSectors             pVolumeName=%s pData=%p FirstSector=%u NumSectors=%u
114     FS_AssignCache                      pVolumeName=%s pCacheData=%p NumBytes=%u pfInit=%p
115     FS_CACHE_Clean                      pVolumeName=%s
116     FS_CACHE_Invalidate                 pVolumeName=%s
117     FS_CACHE_SetAssocLevel              pVolumeName=%s AssocLevel=%u
118     FS_CACHE_SetMode                    pVolumeName=%s TypeMask=%p ModeMask=%p
119     FS_CACHE_SetQuota                   pVolumeName=%s TypeMask=%p NumSectors=%u
120     FS_JOURNAL_Begin                    pVolumeName=%s
121     FS_JOURNAL_Create                   pVolumeName=%s NumBytes=%u
122     FS_JOURNAL_CreateEx                 pVolumeName=%s NumBytes=%u SupportFreeSector=%u
123     FS_JOURNAL_Disable                  pVolumeName=%s
124     FS_JOURNAL_Enable                   pVolumeName=%s
125     FS_JOURNAL_End                      pVolumeName=%s
126     FS_CRYPT_Prepare                    pCryptObj=%p pAlgoType=%p pContext=%p BytesPerBlock=%u pKey=%p
127     FS_SetEncryptionObject              pFile=%p pCryptObj=%p
128     FS_LB_GetStatus                     pType=%p Unit=%u
129     FS_LB_GetDeviceInfo                 pType=%p Unit=%u pInfo=%p
130     FS_LB_InitMedium                    pType=%p Unit=%u
131     FS_LB_Ioctl                         pType=%p Unit=%u Cmd=%d Aux=%d pBuffer=%p
132     FS_LB_FreeSectorsPart               pType=%p Unit=%u SectorIndex=%u NumSectors=%u
133     FS_LB_ReadBurst                     pType=%p Unit=%u SectorIndex=%u NumSectors=%u pBuffer=%p Type=%u
134     FS_LB_ReadDevice                    pType=%p Unit=%u SectorIndex=%u pBuffer=%p Type=%u
135     FS_LB_WriteBurst                    pType=%p Unit=%u SectorIndex=%u NumSectors=%u pBuffer=%p Type=%u WriteToJournal=%u
136     FS_LB_WriteDevice                   pType=%p Unit=%u SectorIndex=%u pBuffer=%p Type=%u WriteToJournal=%u
137     FS_LB_WriteMultiple                 pType=%p Unit=%u SectorIndex=%u NumSectors=%u pBuffer=%p Type=%u WriteToJournal=%u
138     FS_LB_WriteBack                     pType=%p Unit=%u SectorIndex=%u pBuffer=%p
